rank	headword	en	pos	group	nl
416	δοῦλος δούλου, ὁ	slave	noun: 2nd declension	Government and Society	slaaf
417	τέμνω, τεμῶ, 2 aor. ἔτεμον, -τέτμηκα, τέτμημαι, ἐτμήθην	cut, cut down, cut to pieces	verb: -ω liquid stem	War and Peace	snijden, afsnijden; verwoesten
418	χρήσιμος χρησίμη χρήσιμον	useful, serviceable	adjective: 1st and 2nd declension	Characteristics	nuttig, bruikbaar
419	ποῖος ποία ποῖον	what sort of?	adjective: 1st and 2nd declension	Pronouns/Interrogatives	wat voor?, welk soort?
420	ὅπλον ὅπλου, τό	weapon, tool, implement (mostly pl.)	noun: 2nd declension	War and Peace	wapen, werktuig; ὅπλα: wapens
421	πίστις πίστεως, ἡ	trust in others, faith; that which gives confidence, assurance, pledge, guarantee	noun: 3rd declension ι-stem	The Senses and Feelings	vertrouwen, geloof; waarborg
422	ὑπολαμβάνω, ὑπολήψομαι, ὑπέλαβον, ὑπείληφα, ὑπείλημμαι, ὑπελήφθην	take up, seize; answer, reply; assume, suppose	verb: -ω labial stem	The Mind, Perceiving and Learning	opnemen; antwoorden; veronderstellen
423	ποιητής –οῦ, ὁ	creator, poet	noun: 2nd declension	Writing and Talking	dichter; maker
424	λανθάνω, λήσω, ἔλαθον, λέληθα	escape the notice of (+acc. and nom. participle), be unknown; (mid. and pass.) forget	verb: -ω liquid stem	Government and Society	verborgen blijven voor (+ acc.); (med.) vergeten
425	βελτίων βέλτιον	better (comp. of ἀγαθός)	adjective: 3rd declension -ων, -ον	Ethics and Morals	beter
426	πάντως	altogether, in all ways; at any rate	adverb	Conjunctions/Adverbs	helemaal; in elk geval
427	πορεύω, πορεύσω, ἐπόρευσα, πεπόρευμαι, ἐπορεύθην	carry; (mid. and pass) go, walk, march	verb: -ω vowel stem	Work and Leisure	vervoeren; (med./pass.) gaan, marcheren, reizen
428	ἀποκρίνω, ἀποκρινῶ, ἀπεκρινάμην, ἀπεκρίθη	separate, set apart, choοse; (mid.) answer, reply	verb: -ω liquid stem	Writing and Talking	scheiden; (med.) antwoorden
429	πέντε	five	adjective: numeral	Measurements and Numerals	vijf
430	κίνδυνος κινδύνου, ὁ	danger	noun: 2nd declension	War and Peace	gevaar
431	κατηγορέω, κατηγορήσω, κατηγόρησα, κατηγόρηκα, κατηγόρημαι, κατηγορήθην	to speak against, to accuse (+gen.)	verb: contracted	Law and Judgment	beschuldigen, aanklagen (+ gen.)
432	τρέπω, τρέψω, ἔτρεψα, τέτροφα, ἐτράπην	turn, direct towards a thing; put to flight, defeat; (pass.) turn one’s steps in a certain direction, go	verb: -ω labial stem	Movement	draaien, wenden; op de vlucht jagen
433	ὅμως	nevertheless, all the same, notwithstanding	adverb	Conjunctions/Adverbs	toch, nochtans
434	θεῖος θεία θεῖον	divine	adjective: 1st and 2nd declension	Religion	goddelijk
435	ἱππεύς ἱππέως, ὁ	horseman, rider, charioteer	noun: 3rd declension -εύς, -έως	War and Peace	ruiter
436	κτάομαι, κτήσομαι, ἐκτησάμην, κέκτημαι	get, gain, acquire	verb: deponent	Taking and Giving	verwerven, verkrijgen; κέκτημαι: bezitten
437	λείπω, λείψω, ἔλιπον, λέλοιπα, λέλειμμαι, ἐλείφθην	leave, abandon	verb: -ω labial stem	Movement	achterlaten, verlaten
438	βουλή βουλῆς, ἡ	will, determination; counsel, piece of advice; council of elders	noun: 1st declension	Government and Society	raad, besluit; raad (vergadering)
439	ἐλπίς ἐλπίδος, ἡ	hope; expectation	noun: 3rd declension consonant stem	The Senses and Feelings	hoop; verwachting
440	γραφή γραφῆς, ἡ	a drawing, painting, writing; indictment	noun: 1st declension	Writing and Talking	tekening, geschrift; aanklacht
441	τίκτω, τέξω or τέξομαι, ἔτεκον, τέτοκα, τέτεγμαι, ἐτέχθην	beget, give birth to, produce	verb: -ω palatal stem	Family and Friendship and the Home	baren, voortbrengen
442	κομίζω, κομιῶ, ἐκόμισα, κεκόμικα, κεκόμισμαι, ἐκομίσθην	take care of, provide for	verb: -ω dental stem	Help and Safety	brengen, vervoeren; zorgen voor
443	θυμός θυμοῦ, ὁ	life, spirit; soul, heart, mind	noun: 2nd declension	Religion	gemoed, hart, moed; woede
444	βλέπω, βλέψομαι, ἔβλεψα	see, look (at)	verb: -ω labial stem	The Senses and Feelings	zien, kijken (naar)
445	φόβος φόβου, ὁ	panic, fear, flight	noun: 2nd declension	The Senses and Feelings	angst, vrees; vlucht
446	πολιτεία –ας, ἡ	constitution, citizenship, republic	noun: 1st declension	Government and Society	staatsvorm, burgerschap
447	στάδιον σταδίου, τό (pl. στάδια and στάδιοι)	stadion or stade, the longest Greek unit of linear measure, about 185 meters	noun: 2nd declension	Measurements and Numerals	stadion (ca. 185 m)
448	φρονέω, φρονήσω, ἐφρόνησα	think, intend to (+infin.); be minded towards (+adv. and dat.)	verb: contracted	The Mind, Perceiving and Learning	denken, gezind zijn
449	τοιόσδε τοιάδε τοιόνδε	such (as this), of such a sort (as this)	adjective: 1st and 2nd declension	Pronouns/Interrogatives	zulk(e), zodanig
450	ὁρμάω, ὁρμήσω, ὥρμησα, ὥρμηκα, ὥρμημαι, ὡρμήθην	set in motion, urge on; (intrans.) start, hasten on	verb: contracted	Movement	in beweging zetten, aansporen; zich haasten, vertrekken
451	παρασκευάζω, παρασκευάσω, παρεσκεύασα	get ready, prepare, provide	verb: -ω dental stem	Work and Leisure	voorbereiden, klaarmaken
452	λαλέω, λαλήσω, ἐλάλησα, λελάληκα, ἐλαλήθην	talk, chatter, babble	verb: contracted	Writing and Talking	praten, babbelen
453	δράω, δράσω, ἔδρασα, δέδρακα, δέδραμαι, ἐδράσθην	do, accomplish	verb: contracted	Work and Leisure	doen, handelen
454	σκοπέω, σκοπήσω, ἐσκόπησα	look at, watch; look into, consider, examine	verb: contracted	The Senses and Feelings	bekijken, onderzoeken, overwegen
455	βοῦς βοός, ὁ/ἡ	bull, ox, cow	noun: 3rd declension irregular	Animals and Plants	rund, os, koe
456	ἡμέτερος ἡμετέρα ἡμέτρον	our	adjective: 1st and 2nd declension	Pronouns/Interrogatives	ons, onze
457	γράμμα γράμματος, τό	letter, written character; (pl.) piece of writing, document(s)	noun: 3rd declension consonant stem	Writing and Talking	letter; γράμματα: geschrift, brief
458	ἐρωτάω, ἐρήσομαι, 2 aor. ἠρόμην	ask someone (acc.) something (acc.); question, beg	verb: contracted	Writing and Talking	vragen, ondervragen
459	πολεμέω, πολεμήσω, ἐπολέμησα, πεπολέμηκα	make war	verb: contracted	War and Peace	oorlog voeren
460	θύω, θύσω, ἔθυσα, τέθυκα, τέθυμαι, ἐτύθην	sacrifice	verb: -ω vowel stem	Religion	offeren
461	ἐλαύνω, ἐλῶ, ἤλασα, -ελήλακα, ἐλήλαμαι, ἠλάθην	drive, set in motion	verb: -ω liquid stem	Movement	drijven, rijden, marcheren
462	δέδοικα, δείσομαι, ἔδεισα	fear	verb: -ω dental stem	The Senses and Feelings	vrezen
463	σύμμαχος –ον	allied with (+dat.); οἱ σύμμαχοι allies	adjective: 1st and 2nd declension	War and Peace	verbonden; οἱ σύμμαχοι: de bondgenoten
464	ἡγεμών ἡγεμόνος, ὁ	guide, leader, commander	noun: 3rd declension consonant stem	Government and Society	leider, gids, aanvoerder
465	βαρύς βαρεῖα βαρύ	heavy, grievous, tiresome	adjective: -ύς, -εῖα, -ύ	Characteristics	zwaar, lastig
466	ὧδε	thus, in this way; hither, here	adverb	Direction	zo; hier(heen)
467	αἰσχρός –ά –όν	ugly, shameful, disgraceful	adjective: 1st and 2nd declension	Characteristics	lelijk, schandelijk
468	εἰρήνη εἰρήνης, ἡ	peace	noun: 1st declension	War and Peace	vrede
469	ἁλίσκομαι, ἁλώσομαι, 2 aor. ἑάλων, ἑάλωκα	to be taken, conquered (act. supplied by αἱρέω)	verb: deponent	War and Peace	gevangen genomen worden, ingenomen worden
470	δέκα	ten	adjective: numeral	Measurements and Numerals	tien
471	ἀμείνων ἄμεινον	better, abler, stronger, braver (comp. of ἀγαθός)	adjective: 3rd declension -ων, -ον	Ethics and Morals	beter
472	χείρων χεῖρον	worse, inferior (comp. of κακός)	adjective: 3rd declension -ων, -ον	Ethics and Morals	slechter
473	βοηθέω, βοηθήσω, ἐβοήθησα, βεβοήθηκα	help, assist (+dat.)	verb: contracted	Help and Safety	helpen (+ dat.)
474	λαμπρός –ά –όν	bright, brilliant; well-known, illustrious	adjective: 1st and 2nd declension	Characteristics	schitterend, helder; beroemd
475	ἀπαλλάσσω, ἀπαλλάξω, ἀπήλλαξα, ἀπήλλαχα, ἀπήλλαγμαι, ἀπηλλάχθην or ἀπηλλάγην	set free, release, deliver	verb: -ω palatal stem	Help and Safety	bevrijden, verlossen; (pass.) vertrekken
476	βουλεύω βουλεύσω, ἐβούλευσα, βεβούλευκα, βεβούλευμαι, ἐβουλεύθην	plan (to), decide (to); (mid.) deliberate	verb: -ω vowel stem	War and Peace	beraadslagen, besluiten; (med.) overleggen
477	μάλα	very, very much	adverb	Conjunctions/Adverbs	zeer
478	αἰτέω, αἰτήσω, ᾔτησα, ᾔτηκα, ᾔτημαι, ᾐτήθην	ask (for), beg	verb: contracted	Writing and Talking	vragen, verzoeken
479	σωτηρία σωτηρίας, ἡ	safety, deliverance	noun: 1st declension	Help and Safety	redding, veiligheid
480	ἆρα	[introduces a question]	adverb	Particles	vraagpartikel (onvertaald)
481	διώκω, διώξομαι, ἐδίωξα, δεδίωχα, ἐδιώχθην	pursue	verb: -ω palatal stem	Movement	achtervolgen, vervolgen
482	δαίμων δαίμονος, ὁ/ἡ	spirit, god, demon	noun: 3rd declension consonant stem	Religion	godheid, geest, daimon
483	οὐκοῦν	surely then (inviting assent to an inference)	adverb	Particles	dus toch, welnu
484	γλῶσσα γλώσσης, ἡ	tongue; language	noun: 1st declension	Body Parts	tong; taal
485	ἑπτά	seven	adjective: numeral	Measurements and Numerals	zeven
486	τολμάω, τολμήσω, ἐτόλμησα, τετόλμηκα, τετόλμημαι, ἐτολμήθην	have the courage, dare; undertake, undergo	verb: contracted	The Senses and Feelings	durven, wagen
487	δεσπότης –ου, ὁ	master (of the household); absolute ruler	noun: 1st declension	Government and Society	meester, heer; alleenheerser
488	εἰκός εἰκότος, τό	likelihood, probability; εἰκός (ἐστι) it is likely (+infin.) →ἔοικα	noun: 3rd declension consonant stem	The Mind, Perceiving and Learning	waarschijnlijkheid; εἰκός ἐστι: het is waarschijnlijk
489	ἄδικος ἄδικον	unjust	adjective: 1st and 2nd declension	Ethics and Morals	onrechtvaardig
490	εἴκοσι(ν)	twenty	adjective: numeral	Measurements and Numerals	twintig
491	μυρίος μυρία μυρίον	countless; μύριοι 10,000; μυριάς -άδος ἡ 10,000, a countless amount	adjective: 1st and 2nd declension	Measurements and Numerals	talloos; μύριοι: tienduizend
492	αὐτίκα	at once, immediately	adverb	Time	meteen, onmiddellijk
493	δέκατος –η –ον	tenth	adjective: numeral	Measurements and Numerals	tiende
494	βαίνω, βήσομαι, 2 aor. ἔβην, βέβηκα	walk, come, go	verb: -ω liquid stem	Movement	gaan, stappen
495	περ	[enclitic added to pronouns and other particles for emphasis]	adverb	Particles	juist, wel (versterkend partikel)
496	ἐλεύθερος ἐλευθέρα ἐλεύθερον	free, independent	adjective: 1st and 2nd declension	Government and Society	vrij
497	στρατιά –ᾶς, ἡ	army	noun: 1st declension	War and Peace	leger
498	ἀμφί	about, around	preposition	Direction	rond, om, omtrent
499	συμφορά –ᾶς, ἡ	event, circumstance, misfortune	noun: 1st declension	Life and Death	ongeluk, ramp; gebeurtenis
500	ἑκατόν	hundred	adjective: numeral	Measurements and Numerals	honderd
501	νίκη νίκης, ἡ	victory	noun: 1st declension	War and Peace	overwinning
502	ἔπος ἔπους, τό	word, speech, tale; prophecy	noun: 3rd declension σ-stem	Writing and Talking	woord, verhaal; ἔπη: epos
503	στρατός –οῦ, ὁ	army	noun: 2nd declension	War and Peace	leger
504	φράζω, φράσω, ἔφρασα, πέφρακα, πέφρασμαι, ἐφράσθην	tell, declare; (mid. and pass.) think (about)	verb: -ω dental stem	Writing and Talking	vertellen, zeggen; (med.) overwegen
505	ἀργύριον ἀργυρίου, τό	money	noun: 2nd declension	Government and Society	zilver, geld
506	τριάκοντα	thirty	adjective: numeral	Measurements and Numerals	dertig
507	ἕξ	six	adjective: numeral	Measurements and Numerals	zes
508	πεμπτός –ή –όν	fifth	adjective: numeral	Measurements and Numerals	vijfde
509	μάρτυς μάρτυρος, ὁ/ἡ	witness	noun: 3rd declension consonant stem	Law and Judgment	getuige
510	χαλκοῦς –ῆ –οῦν	of copper or bronze	adjective: 1st and 2nd declension	Earth	koperen, bronzen
511	ἕβδομος –η –ον	seventh	adjective: numeral	Measurements and Numerals	zevende
512	ποῦ	where	pronoun	Pronouns/Interrogatives	waar?
513	ναί	indeed, yes (used in strong affirmation)	adverb	Particles	ja, zeker
514	φῶς φωτός, τό	light, daylight	noun: 3rd declension consonant stem	World Order	licht
515	ὀκτώ	eight	adjective: numeral	Measurements and Numerals	acht
516	ἕκτος –η –ον	sixth	adjective: numeral	Measurements and Numerals	zesde
517	τριακοστός –ή –όν	thirtieth	adjective: numeral	Measurements and Numerals	dertigste
518	ἐννέα	nine	adjective: numeral	Measurements and Numerals	negen
519	πότε	when?	adverb	Time	wanneer?
520	ὄγδοος –η –ον	eighth	adjective: numeral	Measurements and Numerals	achtste
521	ἔνατος –α –ον	ninth	adjective: numeral	Measurements and Numerals	negende
522	εἰκοστός –ή –όν	twentieth	adjective: numeral	Measurements and Numerals	twintigste
523	ἀγγέλλω, ἀγγελῶ, ἤγγειλα, ἤγγελκα, ἤγγελμαι, ἠγγέλθην	report, tell	verb: -ω liquid stem	Writing and Talking	berichten, melden
524	ἑκατοστός –ή –όν	hundredth	adjective: numeral	Measurements and Numerals	honderdste
