rank	headword	en	pos	group	nl
591	cornu -ūs n.	horn	Noun: 4th Declension	Animals/Plants	hoorn; vleugel (van leger)
592	ingrātus -a -um:	unpleasant, disagreeable	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	ondankbaar; onaangenaam
593	moenia -ium n. pl.	walls, fortifications	Noun: 3rd Declension	The City	stadsmuren
594	vinculum -ī n.	bond, fetter, tie	Noun: 2nd Declension	War and Peace	band, boei, keten
595	adeō -īre -iī -itum	go to	Verb: Irregular	Motion	gaan naar, naderen
596	cēterus -a -um	the other, the others, the rest	Adjective: 1st and 2nd Declension	Pronouns/Interrogatives	de overige, de rest
597	exeō -īre -iī -itum	go forth	Verb: Irregular	Motion	naar buiten gaan, uitgaan
598	mālō mālle māluī	prefer	Verb: Irregular	Emotions	liever willen, verkiezen
599	speciēs -ēī f.	aspect, appearance	Noun: 5th Declension	Vision	uiterlijk, schijn, aanblik
600	ultrā	beyond, further (adv. and prep. + acc.)	Preposition	Place	voorbij, verder dan (+ acc.)
601	certē	certainly, surely	Adverb	Measurement	zeker, stellig
602	imperō -āre	command, control	Verb: 1st Conjugation	War and Peace	bevelen, heersen over (+ dat.)
603	male	(adv.) badly	Adverb	Personality Traits/Characteristics	slecht
604	prohibeō -ēre -uī -itum	restrain, keep away	Verb: 2nd Conjugation	Verbs of Compelling/Directing	tegenhouden, verhinderen, weren
605	clāmor -ōris m.	outcry, shout	Noun: 3rd Declension	Speech/Oratory	geroep, geschreeuw
606	dōnō -āre	present with a gift (+ acc. of person and abl. of thing)	Verb: 1st Conjugation	Social Life	schenken, begiftigen
607	officium -ī n.	service, duty	Noun: 2nd Declension	The City	plicht, dienst
608	committō -mittere -mīsī -missum	join, entrust to (+ dat.); perform, do	Verb: 3rd Conjugation -ō	Social Life	toevertrouwen (+ dat.); verbinden; begaan
609	crēscō crēscere crēvī crētum	grow, increase	Verb: 3rd Conjugation -ō	Animals/Plants	groeien, toenemen
610	aequus -a -um	equal	Adjective: 1st and 2nd Declension	Justice	gelijk, vlak; billijk
611	factum -ī n.	deed, accomplishment	Noun: 2nd Declension	Making/Doing	daad, feit
612	caedō caedere cecīdī caesum	strike, kill, cut down	Verb: 3rd Conjugation -ō	Violence	neerslaan, doden, (om)hakken
613	exīstimō -āre	think, believe	Verb: 1st Conjugation	Education/Knowledge	menen, denken, achten
614	accēdō -cēdere -cessī -cessum	approach	Verb: 3rd Conjugation -ō	Motion	naderen, toetreden
615	contemnō -temnere -tempsī -temptum	despise, scorn, disdain	Verb: 3rd Conjugation -ō	Emotions	minachten, verachten
616	pudor pudōris m.	sense of shame, modesty, propriety	Noun: 3rd Declension	Personality Traits/Characteristics	schaamte(gevoel), eerbaarheid
617	antīquus -a -um	ancient, old-time, former	Adjective: 1st and 2nd Declension	Lengths of Time	oud, van vroeger
618	ārdeō ārdēre ārsī ārsum	blaze, glow; be eager	Verb: 2nd Conjugation	Air and Fire	branden, gloeien; vurig verlangen
619	ibi	there	Adverb	Place	daar
620	prōvincia -ae f.	province; official duty	Noun: 1st Declension	The City	provincie; taak
621	quandō	when?; since; sī quandō: if ever	Adverb	Pronouns/Interrogatives	wanneer?; aangezien; si quando: als ooit
622	custōs custōdis m.	guardian	Noun: 3rd Declension	The Household	bewaker, wachter
623	supersum -esse -fuī	remain, survive; be superfluous (to)	Verb: Irregular	Place	overblijven, overleven
624	dēsinō -sinere -siī -situm	leave off, cease	Verb: 3rd Conjugation -ō	Motion	ophouden, stoppen
625	fessus -a -um	weary, tired	Adjective: 1st and 2nd Declension	Life and Being	vermoeid, moe
626	praeda -ae f.	booty, prey	Noun: 1st Declension	War and Peace	buit, prooi
627	memoria -ae f.	recollection, memory	Noun: 1st Declension	Education/Knowledge	herinnering, geheugen
628	dīvidō -ere dīvīsī dīvīsum	divide, separate	Verb: 3rd Conjugation -ō	Making/Doing	verdelen, scheiden
629	pretium -ī n.	price, worth, reward; pretium operae: a reward for trouble	Noun: 2nd Declension	Business/Money	prijs, waarde, beloning
630	pontus -ī m.	the open sea, the deep	Noun: 2nd Declension	Earth and Water	zee, open zee
631	varius -a -um	changing, varied, various	Adjective: 1st and 2nd Declension	Other Senses	afwisselend, verschillend, bont
632	vehō vehere vēxī vectum	carry; vehor vehī vectus sum: travel, ride	Verb: 3rd Conjugation -ō	Travel	voeren, dragen; vehi: rijden, varen
633	falsus -a -um	deceptive, false	Adjective: 1st and 2nd Declension	Deception	vals, onwaar, bedrieglijk
634	niger nigra nigrum	black	Adjective: 1st and 2nd Declension	Vision	zwart
635	oppidum -ī n.	town	Noun: 2nd Declension	The City	stad(je), vesting
636	pondus ponderis n.	weight	Noun: 3rd Declension	Measurement	gewicht
637	arvum -ī n.	ploughed land, field	Noun: 2nd Declension	Animals/Plants	akker, veld
638	arx arcis f.	citadel, castle; summit	Noun: 3rd Declension	The City	burcht, citadel
639	sors sortis f.	lot, fate, destiny; oracle	Noun: 3rd Declension	Religion	lot, lotsbestemming; orakel
640	vīnum -ī n.	vine, wine	Noun: 2nd Declension	Animals/Plants	wijn
641	dīversus -a -um	different, diverse	Adjective: 1st and 2nd Declension	Other Senses	verschillend, tegengesteld
642	orior orīrī ortus sum	arise, begin	Verb: Deponent	Time	ontstaan, opkomen, beginnen
643	ecce	behold!	Adverb	Vision	zie!, kijk!
644	quamquam	however, although	Conjunction	Conjunctions/Adverbs	hoewel; nochtans
645	cōnferō cōnferre contulī collātum	collect, bring to	Verb: Irregular	Verbs of Transport	bijeenbrengen; vergelijken; se conferre: zich begeven
646	facinus facinoris n.	deed, crime	Noun: 3rd Declension	Justice	daad; misdaad
647	retineō -tinēre -tinuī -tentum	hold back, keep	Verb: 2nd Conjugation	Verbs of Compelling/Directing	tegenhouden, behouden
648	spērō -āre	to hope	Verb: 1st Conjugation	Emotions	hopen
649	plēbs plēbis f.	the common people	Noun: 3rd Declension	The City	gewone volk, plebs
650	pūgna -ae f.	fist-fight; battle	Noun: 1st Declension	Violence	gevecht, strijd
651	repetō -petere -petīvī -petītum	demand, exact; revisit; call to mind, recollect; repeat	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing	terugvragen; herhalen; opnieuw opzoeken
652	cōnstituō -stituere -stituī -stitūtum	establish, put together	Verb: 3rd Conjugation -ō	Making/Doing	vaststellen, besluiten, oprichten
653	dēfendō -fendere -fendī -fēnsum	defend, ward off	Verb: 3rd Conjugation -ō	War and Peace	verdedigen, afweren
654	marītus -ī m.	husband	Noun: 2nd Declension	The Household	echtgenoot
655	cernō cernere crēvī crētum	discern, separate	Verb: 3rd Conjugation -ō	Education/Knowledge	onderscheiden, waarnemen
656	superbus -a -um	overbearing, proud, haughty	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	trots, hoogmoedig
657	adversus -a -um	facing, opposed; unfavorable	Adjective: 1st and 2nd Declension	War and Peace	tegenovergesteld, vijandig, ongunstig
658	morbus -ī m.	sickness, disease	Noun: 2nd Declension	The Body	ziekte
659	sānctus -a -um	sacred, inviolable	Adjective: 1st and 2nd Declension	Religion	heilig, onschendbaar
660	commūnis -e	common, general	Adjective: 3rd Declension	The City	gemeenschappelijk, algemeen
661	dēdūcō -dūcere -dūxī -ductum	launch, lead away	Verb: 3rd Conjugation -ō	Travel	wegleiden; te water laten; stichten (kolonie)
662	rīpa -ae f.	bank of a river	Noun: 1st Declension	Earth and Water	oever
663	concēdō -cēdere -cessī -cessum	yield, withdraw	Verb: 3rd Conjugation -ō	War and Peace	wijken, toegeven, toestaan
664	hōra -ae f.	hour	Noun: 1st Declension	Lengths of Time	uur
665	vetō -āre vetuī vetītum	forbid	Verb: 1st Conjugation	Verbs of Compelling/Directing	verbieden
666	cohors cohortis f.	cohort, band, troop	Noun: 3rd Declension	War and Peace	cohorte, schare
667	gīgnō gīgnere genuī genitum	beget, bear, bring forth	Verb: 3rd Conjugation -ō	Life and Being	verwekken, baren, voortbrengen
668	superō -āre	overcome, surpass, defeat	Verb: 1st Conjugation	War and Peace	overtreffen, overwinnen
669	maestus -a -um	sad, sorrowful; depressing	Adjective: 1st and 2nd Declension	Emotions	bedroefd, treurig
670	meminī meminisse	remember, recollect	Verb: Irregular	Education/Knowledge	zich herinneren
671	impleō -ēre -plēvī -plētum	fill in, fill up	Verb: 2nd Conjugation	Earth and Water	vullen, vervullen
672	māgnitūdō -inis f.	greatness, size	Noun: 3rd Declension	Measurement	grootte, grootheid
673	vacuus -a -um	empty	Adjective: 1st and 2nd Declension	Measurement	leeg
674	vagus -a -um	wandering, shifting	Adjective: 1st and 2nd Declension	Travel	zwervend, ronddolend
675	vulgus -ī n. and m.	the common people	Noun: 2nd Declension	The City	volk, massa
676	deficiō -ficere -fēcī -fectum	fail, give out; revolt from	Verb: 3rd Conjugation -iō	War and Peace	ontbreken, bezwijken; afvallig worden
677	occurrō -currere -cucurrī -cursum	run to meet; come into one’s mind	Verb: 3rd Conjugation -ō	Education/Knowledge	tegemoet lopen; te binnen schieten
678	statuō -ere -uī -ūtum	set up, determine	Verb: 3rd Conjugation -ō	Justice	plaatsen, vaststellen, besluiten
679	ideō	for this reason	Adverb	Conjunctions/Adverbs	daarom
680	praemium -ī n.	bounty, reward	Noun: 2nd Declension	Business/Money	beloning, prijs
681	praetereā	besides, moreover	Adverb	Conjunctions/Adverbs	bovendien
682	tertius -a -um	third	Adjective: 1st and 2nd Declension	Measurement	derde
683	supplicium -ī n.	punishment, penalty	Noun: 2nd Declension	Justice	straf, doodstraf
684	vātēs -is m.	poet, bard	Noun: 3rd Declension	Writing/Poetry	ziener, profeet; dichter
685	astrum -ī n.	star; constellation	Noun: 2nd Declension	Air and Fire	ster, gesternte
686	undique	from all sides, on all sides	Adverb	Place	van alle kanten, overal
687	canis -is m./f.	dog	Noun: 3rd Declension	Animals/Plants	hond
688	ēdō ēdere ēdidī ēditum	put forth, state, explain	Verb: 3rd Conjugation -ō	Speech/Oratory	uitgeven, voortbrengen; bekendmaken
689	fateor fatērī fassus sum	admit, confess; profess, declare; assent, say yes	Verb: Deponent	Justice	bekennen, toegeven
690	amīcitia -ae f.	friendship	Noun: 1st Declension	Social Life	vriendschap
691	aureus -a -um	golden; splendid	Adjective: 1st and 2nd Declension	Business/Money	gouden
692	candidus -a -um	white, fair	Adjective: 1st and 2nd Declension	Vision	wit, blank, stralend
693	interim	meanwhile	Adverb	Time	intussen
694	frūstrā	in vain	Adverb	Conjunctions/Adverbs	tevergeefs
695	lateō latēre latuī	lie hidden, be hidden	Verb: 2nd Conjugation	Deception	verborgen zijn, schuilen
696	os ossis n.	bone	Noun: 3rd Declension	The Body	bot, been
697	sēcūrus -a -um	free from care, tranquil; careless	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	onbezorgd, zorgeloos; veilig
698	conveniō -venīre -vēnī -ventum	assemble, meet; agree	Verb: 4th Conjugation	Social Life	samenkomen; overeenkomen
699	interficiō -ficere -fēcī -fectum	kill	Verb: 3rd Conjugation -iō	Violence	doden
700	appellō -pellāre	call, address, name	Verb: 1st Conjugation	Social Life	noemen, aanspreken
701	dolus -ī m.	artifice, device, trick	Noun: 2nd Declension	Deception	list, bedrog
702	permittō -mittere -mīsī -missum	yield, allow, permit	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing	toestaan, toelaten; overlaten
703	spīritus -ūs m.	breath, life, spirit	Noun: 4th Declension	Life and Being	adem, geest, leven
704	intrā	within (+ acc.)	Preposition	Place	binnen (+ acc.)
705	terreō terrēre terruī territum	terrify, frighten	Verb: 2nd Conjugation	Emotions	schrik aanjagen, afschrikken
706	fōns fontis m.	spring, fountain	Noun: 3rd Declension	Earth and Water	bron
707	invidia -ae f.	envy, jealousy, hatred	Noun: 1st Declension	Emotions	afgunst, jaloersheid, haat
708	pugnō -āre	fight	Verb: 1st Conjugation	Violence	vechten, strijden
709	augeō augēre auxī auctum	increase	Verb: 2nd Conjugation	Making/Doing	vergroten, vermeerderen
710	littera -ae f.	letter, (pl.) literature	Noun: 1st Declension	Writing/Poetry	letter; litterae: brief, literatuur
711	moneō monēre monuī monitum	warn, advise	Verb: 2nd Conjugation	Speech/Oratory	waarschuwen, aanmanen
712	dīvitiae -ārum f. pl.	riches, wealth	Noun: 1st Declension	Business/Money	rijkdom
713	experior -perīrī -pertus sum	try thoroughly, test, experience	Verb: Deponent	Education/Knowledge	ondervinden, proberen, beproeven
714	superī -ōrum m. pl.	those above, i.e. the gods	Noun: 2nd Declension	Religion	de goden (in de hemel)
715	ōtium -ī n.	leisure	Noun: 2nd Declension	Social Life	vrije tijd, rust
716	vestīgium -ī n.	footstep, footprint, track	Noun: 2nd Declension	Travel	voetspoor, spoor
717	sinō sinere sīvī situm	allow, let go	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing	toelaten, laten
718	decet decēre decuīt	it is right, proper, fitting (+ acc. + infin.)	Verb: Impersonal	Personality Traits/Characteristics	het past, het betaamt (+ acc. + inf.)
719	effundō -fundere -fūdī -fūsum	pour out	Verb: 3rd Conjugation -ō	Earth and Water	uitgieten, uitstorten
720	prōmittō -mittere -mīsī -missum	send forth, offer	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing	beloven
721	fingō fingere fīnxī fīctum	shape; invent	Verb: 3rd Conjugation -ō	Making/Doing	vormen; verzinnen
722	respicio -ere -spēxī -spectum	look back, regard, consider	Verb: 3rd Conjugation -iō	Vision	omkijken; rekening houden met
723	imperātor -ōris m.	commander	Noun: 3rd Declension	War and Peace	bevelhebber, veldheer; keizer
724	vacō vacāre	be empty, open, unoccupied	Verb: 1st Conjugation	Measurement	leeg zijn, vrij zijn
725	color -ōris m.	color	Noun: 3rd Declension	Vision	kleur
726	discēdō -ere -cessī -cessum	go away, depart	Verb: 3rd Conjugation -ō	Travel	weggaan, vertrekken
727	gaudium -ī n.	delight, joy, pleasure	Noun: 2nd Declension	Emotions	vreugde, blijdschap
728	caecus -a -um	blind, unseeing; dark, obscure	Adjective: 1st and 2nd Declension	Vision	blind; donker
729	libet libēre libuit or libitum est	it is pleasing (+ dat. + infin.)	Verb: Impersonal	Social Life	het behaagt (+ dat. + inf.)
730	centum	one hundred	Adjective: Numeral	Measurement	honderd
731	cōnstō -stāre -stitī	agree; constat, it is established that (+ acc. and infin.)	Verb: 1st Conjugation	Speech/Oratory	kosten; blijven staan; constat: het staat vast dat
732	lingua -ae f.	tongue; language	Noun: 1st Declension	The Body	tong; taal
733	multitūdō -inis f.	multitude, number	Noun: 3rd Declension	Measurement	menigte, groot aantal
734	aeternus -a -um	everlasting, eternal	Adjective: 1st and 2nd Declension	Lengths of Time	eeuwig
735	circā	around (adv. and prep. +acc.)	Preposition	Place	rondom, rond (+ acc.); ongeveer
736	ōrātiō -ōnis f.	speech, address	Noun: 3rd Declension	Speech/Oratory	redevoering, rede
737	potestās -ātis f.	power	Noun: 3rd Declension	The City	macht, bevoegdheid
738	tardus -a -um	slow, sluggish, lingering	Adjective: 1st and 2nd Declension	Time	traag, langzaam
739	for fārī fātus sum	report, say	Verb: Deponent	Speech/Oratory	spreken, zeggen
740	humus -ī f.	ground; humī: on the ground	Noun: 2nd Declension	Earth and Water	grond, aarde; humi: op de grond
741	testis -is m.	witness	Noun: 3rd Declension	Justice	getuige
742	īnferō īnferre intulī illātum	bring upon, against; bellum īnferre: make war on	Verb: Irregular	War and Peace	brengen naar/tegen; bellum inferre: de oorlog aandoen
743	cūrō -āre	watch over, look after, care for (+ acc.)	Verb: 1st Conjugation	Love	zorgen voor, verzorgen
744	aes aeris n.	copper, bronze	Noun: 3rd Declension	Business/Money	brons, koper; geld
745	celer -is -e	swift	Adjective: 3rd Declension	Time	snel
746	prōcēdō -cēdere -cessī -cessum	go forth, advance	Verb: 3rd Conjugation -ō	Motion	voortgaan, vooruitgaan
747	mēnsa -ae f.	table	Noun: 1st Declension	The House	tafel
748	pius -a -um	dutiful, devoted, just, pious	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	plichtsgetrouw, vroom
749	iūdicium -ī n.	judgment, decision, trial	Noun: 2nd Declension	Justice	oordeel, vonnis, proces
750	victōria -ae f.	victory	Noun: 1st Declension	War and Peace	overwinning
751	damnō -āre	condemn	Verb: 1st Conjugation	Justice	veroordelen
752	rārus -a -um	wide apart, loose, thin; rare, seldom	Adjective: 1st and 2nd Declension	Measurement	zeldzaam; dun, verspreid
753	tempestas -tātis f.	period of time, season; bad weather, storm	Noun: 3rd Declension	Lengths of Time	storm, onweer; tijd
754	imāgō -inis f.	image, form, figure	Noun: 3rd Declension	Vision	beeld, afbeelding
755	ōrō -āre	pray	Verb: 1st Conjugation	Religion	bidden, smeken; spreken
756	praeter	by, along, past; besides, except (+ acc.)	Preposition	Place	langs, voorbij; behalve (+ acc.)
757	cōnsulō -sulere -suluī -sultum	consult, plan (+ acc.); consider the interests of (+dat)	Verb: 3rd Conjugation -ō	The City	raadplegen (+ acc.); zorgen voor (+ dat.)
758	iterum	again	Adverb	Time	opnieuw, weer
759	porta -ae f.	gate	Noun: 1st Declension	The City	poort
760	intersum -esse -fuī	to be between; take part in, attend (+dat.); interest, it is in the interest of (+ gen.)	Verb: Irregular	Place	deelnemen aan (+ dat.); interest: het is van belang
761	libīdō -inis f.	passion, lust	Noun: 3rd Declension	Love	lust, begeerte
762	sustineō sustinēre sustinuī sustentum	hold up, sustain	Verb: 2nd Conjugation	Social Life	ophouden, dragen, doorstaan
763	aliquandō	at some time, at length	Adverb	Time	ooit, eens; eindelijk
764	māiōrēs māiōrum m.	ancestors	Noun: 3rd Declension	The Household	voorouders
765	reperiō -perīre -pperī -pertum	find, find out	Verb: 4th Conjugation	Education/Knowledge	vinden, ontdekken
766	intrō -āre	enter	Verb: 1st Conjugation	Motion	binnengaan
767	pietās -tātis f.	sense of duty, devotion, esp. between parents and children	Noun: 3rd Declension	The Household	plichtsgevoel, vroomheid
768	barbarus -ī m.	foreigner, barbarian	Noun: 2nd Declension	War and Peace	barbaar, vreemdeling
769	culpa -ae f.	guilt, fault, blame	Noun: 1st Declension	Justice	schuld
770	iūstus -a -um	right, just, fair	Adjective: 1st and 2nd Declension	Justice	rechtvaardig
771	dōnec	until	Conjunction	Time	totdat, zolang als
772	fluō fluere fluxī fluxum	flow	Verb: 3rd Conjugation -ō	Earth and Water	stromen, vloeien
773	necesse (indecl. adj.)	necessary	Adjective: Indeclinable	Business/Money	noodzakelijk
774	reor rērī rātus sum	think, imagine, suppose, deem	Verb: Deponent	Education/Knowledge	menen, denken
775	tenebrae -brārum f. pl.	darkness, the shadows	Noun: 1st Declension	Vision	duisternis
776	saeculum -ī n.	generation, age, century	Noun: 2nd Declension	Lengths of Time	generatie, tijdperk, eeuw
777	dīmittō -mittere -mīsī -missum	send away	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing	wegsturen, laten gaan
778	licet	even though	Conjunction	Justice	hoewel, ook al
779	cinis cineris m./f.	ashes, embers	Noun: 3rd Declension	Air and Fire	as
780	cōnsistō -sistere -stitī	take position; consist in, be composed of	Verb: 3rd Conjugation -ō	Speech/Oratory	halt houden, zich opstellen; bestaan uit
781	recēns -ntis	fresh, new	Adjective: 3rd Declension	Time	vers, nieuw, recent
782	aliter	otherwise, differently	Adverb	Conjunctions/Adverbs	anders
783	laedō laedere laesī laesum	injure by striking, hurt	Verb: 3rd Conjugation -ō	Violence	kwetsen, beschadigen
784	probō -āre	approve, prove; convince one (dat.) of a thing (acc.)	Verb: 1st Conjugation	Verbs of Compelling/Directing	goedkeuren; bewijzen
785	doleō -ēre doluī	feel pain or grief, grieve	Verb: 2nd Conjugation	Emotions	pijn hebben, verdriet hebben
786	quārē	how? why?	Adverb	Pronouns/Interrogatives	waarom?, waardoor?; daarom
787	antequam	before	Conjunction	Time	voordat
788	reliquus -a -um	remaining, rest	Adjective: 1st and 2nd Declension	Measurement	overig, overblijvend
789	semel	once	Adverb	Time	eenmaal, eens
790	ōdī ōdisse	hate	Verb: Irregular	Emotions	haten
791	sīcut	just as	Adverb	Conjunctions/Adverbs	zoals
792	peccō -āre	commit a wrong, injure	Verb: 1st Conjugation	Justice	fout doen, zondigen
793	sēnsus -ūs m.	feeling, emotion, sense	Noun: 4th Declension	Emotions	gevoel, zin, zintuig
794	exsilium -ī n.	exile, banishment	Noun: 2nd Declension	Travel	ballingschap
795	cor cordis n.	heart; cordī est, it is pleasing to (+ dat.)	Noun: 3rd Declension	The Body	hart
796	dēnique	finally	Adverb	Time	ten slotte, eindelijk
797	sapientia -ae f.	wisdom	Noun: 1st Declension	Education/Knowledge	wijsheid
798	statim	immediately	Adverb	Time	onmiddellijk
799	accidō -cidere -cidī	fall; happen	Verb: 3rd Conjugation -ō	Motion	gebeuren; neervallen
800	dēcernō -cernere -crēvī -crētum	determine, decide	Verb: 3rd Conjugation -ō	Education/Knowledge	beslissen, besluiten
801	occīdō -cīdere -cīdī -cīsum	kill, cut down	Verb: 3rd Conjugation -ō	Violence	doden, neerslaan
802	dēscendō -scendere -scendī -scēnsum	climb down, descend	Verb: 3rd Conjugation -ō	Travel	afdalen, naar beneden gaan
803	hiems hiemis f.	winter	Noun: 3rd Declension	Lengths of Time	winter
804	contineō -tinēre -tinuī -tentum	contain, restrain	Verb: 2nd Conjugation	Verbs of Compelling/Directing	bijeenhouden, bevatten, tegenhouden
805	dēferō -ferre -tulī -lātum	carry away, report	Verb: Irregular	Verbs of Transport	wegbrengen; melden, overbrengen
806	oportet -ēre -uit	it is proper, right (+ acc. + infin.)	Verb: Impersonal	Social Life	het is nodig, men moet (+ acc. + inf.)
807	tribūnus -ī m.	tribune, title of various Roman officials, as mīlitum, plēbis, aerāriī	Noun: 2nd Declension	The City	tribuun
808	bōs bovis m.	ox; gen. pl. boum	Noun: 3rd Declension	Animals/Plants	rund, os, koe
809	īrāscor īrāscī īrātus sum	grow angry; īrātus -a -um: angry	Verb: Deponent	Emotions	boos worden; iratus: boos
810	aeger aegra aegrum	sick	Adjective: 1st and 2nd Declension	Life and Being	ziek
811	forum -ī n.	market-place, forum	Noun: 2nd Declension	The City	forum, marktplein
812	offerō offerre obtulī oblātum	present, offer, expose	Verb: Irregular	Verbs of Transport	aanbieden; blootstellen
813	revocō -āre	call back, recall	Verb: 1st Conjugation	Social Life	terugroepen
814	cingō cingere cīnxī cīnctum	encircle, surround, gird	Verb: 3rd Conjugation -ō	War and Peace	omgorden, omringen
815	integer -gra -grum:	untouched, fresh, complete, whole	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	ongeschonden, fris, geheel
816	validus -a -um	strong	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	sterk, krachtig
817	alō alere aluī alitum	nourish	Verb: 3rd Conjugation -ō	Life and Being	voeden, grootbrengen
818	flōs flōris m.	flower, bloom	Noun: 3rd Declension	Animals/Plants	bloem, bloei
819	īctus -ūs m.	blow, stroke	Noun: 4th Declension	Violence	slag, stoot
820	colligō -ere -lēgī -lēctum	gather together, collect	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing	verzamelen
821	pergō pergere perrēxī perrēctum	continue, proceed; awaken	Verb: 3rd Conjugation -ō	Motion	verder gaan, voortgaan
822	praesēns -ntis	present, in person, ready	Adjective: 3rd Declension	Place	aanwezig, tegenwoordig
823	rēctus -a -um	straight, direct	Adjective: 1st and 2nd Declension	Measurement	recht, juist
824	lātus -a -um	broad, wide	Adjective: 1st and 2nd Declension	Measurement	breed, wijd
825	praeceptum -ī n.	rule, precept; command	Noun: 2nd Declension	Justice	voorschrift, regel; bevel
826	recēdō -cēdere -cessī -cessum	step back, recoil, recede, withdraw	Verb: 3rd Conjugation -ō	Motion	teruggaan, zich terugtrekken
827	utrum	whether; utrum ... an: whether ... or	Conjunction	Conjunctions/Adverbs	of (in vragen); utrum ... an: of ... of
828	famēs -is f.	hunger, famine	Noun: 3rd Declension	Life and Being	honger, hongersnood
829	pariō parere peperī partum	bring forth, give birth to; accomplish	Verb: 3rd Conjugation -iō	Life and Being	baren, voortbrengen; verwerven
830	appāreō -ēre -uī	appear, become visible	Verb: 2nd Conjugation	Vision	verschijnen, zichtbaar worden
831	quōmodo	in what way, how?	Conjunction	Pronouns/Interrogatives	hoe?, op welke manier?
832	error -ōris m.	wandering; error, mistake	Noun: 3rd Declension	Travel	dwaling, fout, vergissing
833	forsitan, fortasse	perhaps, perchance	Adverb	Conjunctions/Adverbs	misschien
834	convertō -vertere -vertī -versum	turn about, turn, change	Verb: 3rd Conjugation -ō	Motion	omkeren, wenden, veranderen
835	proficīscor -ficīscī -fectus sum	set forth, go	Verb: Deponent	Travel	vertrekken, op weg gaan
836	secundus -a -um	following; favorable; (as numeral) second	Adjective: 1st and 2nd Declension	Measurement	volgend; gunstig; tweede
837	aperiō aperīre aperuī apertum	open	Verb: 4th Conjugation	The House	openen
838	castus -a -um	pure, spotless, chaste	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	rein, kuis
839	iūdex iūdicis m.	judge, juror	Noun: 3rd Declension	Justice	rechter
840	lapis lapidis m.	stone	Noun: 3rd Declension	Earth and Water	steen
841	nimis or nimium	excessively	Adverb	Personality Traits/Characteristics	te zeer, te veel
842	onus oneris n.	load, burden	Noun: 3rd Declension	Measurement	last, vracht
843	opera -ae f.	labor, activity, work	Noun: 1st Declension	Business/Money	moeite, werk, inspanning
844	pauper -eris	poor, lowly	Adjective: 3rd Declension	Business/Money	arm
845	āēr āeris m.	air	Noun: 3rd Declension	Air and Fire	lucht
846	negōtium -ī n.	business	Noun: 2nd Declension	Business/Money	bezigheid, zaak
847	pāreō pārēre pāruī	obey	Verb: 2nd Conjugation	Verbs of Compelling/Directing	gehoorzamen (+ dat.)
848	subitō	suddenly, unexpectedly	Adverb	Time	plotseling
849	argentum -ī n.	silver, money	Noun: 2nd Declension	Business/Money	zilver; geld
850	ūtilis -e	useful	Adjective: 3rd Declension	Making/Doing	nuttig
851	aethēr aetheris n.	pure upper air, ether, heaven, sky	Noun: 3rd Declension	Air and Fire	hemel, lucht, ether
852	mereō merēre meruī meritum	deserve, merit; serve as a soldier	Verb: 2nd Conjugation	Business/Money	verdienen; soldaat zijn
853	portō -āre	carry a load	Verb: 1st Conjugation	Measurement	dragen
854	proprius -a -um	one’s own, peculiar	Adjective: 1st and 2nd Declension	Pronouns/Interrogatives	eigen, kenmerkend
855	avis -is f.	bird	Noun: 3rd Declension	Animals/Plants	vogel
856	vanus -a -um	empty; false, deceitful	Adjective: 1st and 2nd Declension	Deception	leeg, ijdel; vals
857	māteria -ae f.	material, subject matter; timber, lumber	Noun: 1st Declension	Speech/Oratory	materiaal, stof, onderwerp; hout
858	paucī -ae -a	few, a few	Adjective: 1st and 2nd Declension	Measurement	weinig(en), enkele
859	voluntās -ātis f.	wish, desire	Noun: 3rd Declension	Emotions	wil, wens
860	ēgregius -a -um	distinguished, uncommon	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	uitstekend, voortreffelijk
861	difficilis -e	not easy, hard, difficult	Adjective: 3rd Declension	Personality Traits/Characteristics	moeilijk
862	gladius -ī m.	sword	Noun: 2nd Declension	War and Peace	zwaard
863	cibus -ī m.	food	Noun: 2nd Declension	Life and Being	voedsel, eten
864	certō -āre	decide by contest; fight, compete, vie	Verb: 1st Conjugation	Athletics	strijden, wedijveren
865	initium -ī n.:	beginning	Noun: 2nd Declension	Time	begin
866	pertineō -tinēre -tinuī	extend over, reach; refer to, pertain to, be the business of	Verb: 2nd Conjugation	Education/Knowledge	zich uitstrekken; betrekking hebben op
867	quattuor	four	Adjective: Numeral	Measurement	vier
868	turbō -āre	disturb, confuse	Verb: 1st Conjugation	Speech/Oratory	in verwarring brengen, verstoren
